,Step_Time(s),Current(A),Voltage(V),Temperature (C)_1,Temperature (C)_2,SOC
15832,5.007542513978846,0.049996018409729004,2.5872738361358643,21.591411590576172,21.095104217529297,0.0
15833,10.015110435293098,0.049992483109235764,2.592505931854248,21.51628303527832,21.245569229125977,6.32218328237363e-05
15834,15.022677971647724,0.049996018409729004,2.5974302291870117,21.62216567993164,21.245569229125977,0.00012643919026807113
15835,20.03025128239676,0.049996018409729004,2.6020467281341553,21.62216567993164,21.019865036010742,0.00018966109113480759
15836,25.037823438266912,0.049996018409729004,2.6057400703430176,21.547039031982422,21.245569229125977,0.00025288297742090117
15837,30.045402908369983,0.049999549984931946,2.610048770904541,21.51628303527832,21.245569229125977,0.0003161049560510663
15838,35.05296890488609,0.049999549984931946,2.6137421131134033,21.591411590576172,21.125873565673828,0.00037933123038077663
15839,40.06054722011029,0.049992483109235764,2.6171276569366455,21.62216567993164,21.095104217529297,0.0004425576602483305
15840,45.06811129182827,0.049996018409729004,2.6205129623413086,21.591411590576172,21.170337677001953,0.0005057749739538298
15841,50.07568537249656,0.049996018409729004,2.623898506164551,21.471908569335938,21.13957405090332,0.0005689968845409948
15842,55.083253293810806,0.049992483109235764,2.627284049987793,21.547039031982422,21.214805603027344,0.000632218717364731
15843,60.090811591134376,0.049996018409729004,2.630669355392456,21.62216567993164,21.095104217529297,0.0006954359581721709
15844,65.0983960657126,0.049996018409729004,2.633747100830078,21.591411590576172,21.20110511779785,0.0007586579999851221
15845,70.10597630573493,0.049992483109235764,2.6371326446533203,21.51628303527832,21.170337677001953,0.0008218799883357158
15846,75.11356270511129,0.049992483109235764,2.6399025917053223,21.591411590576172,21.214805603027344,0.0008850975839137111
15847,80.1211213873945,0.049992483109235764,2.642672538757324,21.591411590576172,21.13957405090332,0.0009483148295810216
15848,85.12863310460315,0.049996018409729004,2.6460580825805664,21.591411590576172,21.214805603027344,0.001011531482344116
15849,90.13628302231803,0.049996018409729004,2.6488280296325684,21.56065559387207,21.214805603027344,0.0010747543503934975
15850,95.14387596600805,0.049992483109235764,2.6515979766845703,21.51628303527832,21.033565521240234,0.001137976499131163
15851,100.1514030816018,0.049996018409729004,2.6543679237365723,21.52989959716797,21.184038162231445,0.0012011933462890822
15852,105.15897523747196,0.049992483109235764,2.6574454307556152,21.485525131225586,21.10880470275879,0.001264415232575176
15853,110.16655162789802,0.049992483109235764,2.659600019454956,21.410388946533203,21.184038162231445,0.0013276327017965352
15854,115.17411685449488,0.049996018409729004,2.662677526473999,21.591411590576172,21.10880470275879,0.0013908500300816463
15855,120.18168939532468,0.049992483109235764,2.665139675140381,21.366012573242188,21.214805603027344,0.0014540719212279543
15856,125.1892600113563,0.049996018409729004,2.667602062225342,21.485525131225586,21.184038162231445,0.0015172893175512537
15857,130.19683486194384,0.049996018409729004,2.6706795692443848,21.52989959716797,21.13957405090332,0.0015805112378588474
15858,135.2044085576525,0.049996018409729004,2.6731417179107666,21.591411590576172,21.214805603027344,0.001643733143585798
15859,140.2119784037649,0.049992483109235764,2.6752963066101074,21.56065559387207,21.184038162231445,0.001706955000710606
15860,145.21956018362573,0.049999549984931946,2.6783738136291504,21.56065559387207,21.214805603027344,0.0017701725379701539
15861,150.22712541022258,0.049996018409729004,2.680220603942871,21.45476722717285,21.214805603027344,0.0018333988025787489
15862,155.2347191238319,0.049992483109235764,2.682682752609253,21.45476722717285,21.10880470275879,0.0018966209610368433
15863,160.2422708768418,0.049992483109235764,2.6851449012756348,21.52989959716797,21.153274536132812,0.0019598381192264826
15864,165.24983995303492,0.049996018409729004,2.6872992515563965,21.424009323120117,21.09174346923828,0.0020230554961103
15865,170.25744367559452,0.049992483109235764,2.6897614002227783,21.52989959716797,21.10880470275879,0.002086277780933966
15866,175.26499350380627,0.049996018409729004,2.69222354888916,21.45476722717285,21.09174346923828,0.002149494914824252
15867,180.27255449584723,0.049996018409729004,2.694070339202881,21.52989959716797,21.07803726196289,0.002212716660164131
15868,185.28012588179817,0.049992483109235764,2.6962246894836426,21.45476722717285,21.10880470275879,0.0022759385367297964
15869,190.28770034742607,0.049996018409729004,2.6986868381500244,21.51628303527832,21.184038162231445,0.0023391559816518023
15870,195.2952698085788,0.049992483109235764,2.700841188430786,21.52989959716797,21.122507095336914,0.0024023778339163954
15871,200.30284581404524,0.049999549984931946,2.7026877403259277,21.52989959716797,21.153274536132812,0.002465595298277884
15872,205.3104141203191,0.049996018409729004,2.7051498889923096,21.499143600463867,21.122507095336914,0.0025288216017709396
15873,210.31790350986935,0.049992483109235764,2.7069966793060303,21.56065559387207,21.214805603027344,0.002592042443110959
15874,215.32555727718056,0.049996018409729004,2.709151029586792,21.499143600463867,21.10880470275879,0.0026552608891663144
15875,220.3333095941563,0.049992483109235764,2.7109975814819336,21.485525131225586,21.214805603027344,0.0027184850500326986
15876,225.3407012039612,0.049992483109235764,2.7131519317626953,21.424009323120117,21.184038162231445,0.0027817001865161582
15877,230.34827566958916,0.049996018409729004,2.714998722076416,21.51628303527832,21.214805603027344,0.0028449176314381645
15878,235.3558466705804,0.049996018409729004,2.717460870742798,21.51628303527832,21.184038162231445,0.002908139503143615
15879,240.36341959636985,0.049996018409729004,2.7193074226379395,21.45476722717285,21.153274536132812,0.0029713613991501375
15880,245.37108953198532,0.049992483109235764,2.721153974533081,21.424009323120117,21.153274536132812,0.0030345845199306622
15881,250.3786305061257,0.049992483109235764,2.7230007648468018,21.45476722717285,21.184038162231445,0.0030978015420439244
